state,total_votes,rep_votes,rep_percent,rep_ev,dem_votes,dem_percent,dem_ev,other_votes,other_percent,other_ev,socialist_vote,socialist_percent,socialist_ev
Alabama,160477,55634,34.7,0,96368.0,60.1,11,,,,,,
Arkansas,127966,44800,35.0,0,81242.0,63.5,8,,,,,,
California,302399,164755,54.5,9,124985.0,41.3,0,,,,,,
Colorado,220895,92701,42.0,0,122705.0,55.5,4,,,,,,
Connecticut,180195,102572,56.9,6,74014.0,41.1,0,,,,,,
Delaware,41989,22535,53.7,3,18852.0,44.9,0,,,,,,
Florida,39777,7463,18.8,0,28273.0,71.1,4,,,,,,
Georgia,121410,34260,28.2,0,81180.0,66.9,13,,,,,,
Idaho,56760,27198,47.9,0,28260.0,49.8,3,,,,,,
Illinois,1131898,597985,52.8,24,503061.0,44.4,0,,,,,,
Indiana,664094,336063,50.6,15,309584.0,46.6,0,,,,,,
Iowa,530345,307799,58.0,13,209261.0,39.5,0,,,,,,
Kansas,353766,185955,52.6,10,162601.0,46.0,0,,,,,,
Kentucky,467580,226801,48.5,0,234889.0,50.2,13,,,,,,
Louisiana,67906,14234,21.0,0,53668.0,79.0,8,,,,,,
Maine,107698,66413,61.7,6,37822.0,35.1,0,,,,,,
Maryland,264386,136151,51.5,8,122237.0,46.2,0,,,,,,
Massachusetts,414804,238866,57.6,15,156997.0,37.8,0,,,,,,
Michigan,543789,316014,58.1,14,211432.0,38.9,0,,,,,,
Minnesota,316311,190461,60.2,9,112901.0,35.7,0,,,,,,
Mississippi,59055,5707,9.7,0,51706.0,87.6,9,,,,,,
Missouri,683658,314092,45.9,0,351922.0,51.5,17,,,,,,
Montana,63856,25409,39.8,0,37311.0,58.4,3,,,,,,
Nebraska,241430,121835,50.5,8,114013.0,47.2,0,,,,,,
Nevada,10196,3849,37.8,0,6347.0,62.2,3,,,,,,
New Hampshire,92364,54799,59.3,4,35489.0,38.4,0,,,,,,
New Jersey,401050,221707,55.3,10,164808.0,41.1,0,,,,,,
New York,1548043,822013,53.1,36,678462.0,43.8,0,,,,,,
North Carolina,292518,132997,45.5,0,157733.0,53.9,11,,,,,,
North Dakota,57783,35898,62.1,3,20524.0,35.5,0,,,,,,
Ohio,1040073,543918,52.3,23,474882.0,45.7,0,,,,,,
Oregon,84216,46526,55.2,4,33385.0,39.6,0,,,,,,
Pennsylvania,1173210,712665,60.7,32,424232.0,36.2,0,,,,,,
Rhode Island,56548,33784,59.7,4,19812.0,35.0,0,,,,,,
South Carolina,50698,3525,7.0,0,47173.0,93.0,9,,,,,,
South Dakota,96169,54574,56.7,4,39538.0,41.1,0,,,,,,
Tennessee,273860,123108,45.0,0,145240.0,53.0,12,,,,,,
Texas,424334,131174,30.9,0,267945.0,63.1,15,,,,,,
Utah,93071,47089,50.6,3,44949.0,48.3,0,,,,,,
Vermont,56212,42569,75.7,4,12849.0,22.9,0,,,,,,
Virginia,264208,115769,43.8,0,146079.0,55.3,12,,,,,,
Washington,107523,57455,53.4,4,44833.0,41.7,0,,,,,,
West Virginia,220796,119829,54.3,6,98807.0,44.8,0,,,,,,
Wisconsin,442501,265760,60.1,12,159163.0,36.0,0,,,,,,
